sensor_id,t_unix,packet_counter,roll_deg,pitch_deg,yaw_deg
XDA.XsDeviceId,1790001305.976585,219,0.003,-1.092,-67.783
XDA.XsDeviceId,1790001305.990535,220,0.005,-1.089,-67.790
XDA.XsDeviceId,1790001306.006415,221,0.006,-1.092,-67.799
XDA.XsDeviceId,1790001306.022375,222,0.008,-1.088,-67.805
XDA.XsDeviceId,1790001306.038250,223,0.009,-1.083,-67.812
XDA.XsDeviceId,1790001306.053830,224,0.011,-1.078,-67.816
XDA.XsDeviceId,1790001306.069842,225,0.015,-1.072,-67.821
XDA.XsDeviceId,1790001306.085629,226,0.016,-1.073,-67.831
XDA.XsDeviceId,1790001306.101304,227,0.019,-1.069,-67.836
XDA.XsDeviceId,1790001306.105839,228,0.019,-1.068,-67.843
XDA.XsDeviceId,1790001306.107310,229,0.023,-1.064,-67.848
XDA.XsDeviceId,1790001306.116474,230,0.026,-1.058,-67.852
XDA.XsDeviceId,1790001306.132088,231,0.029,-1.053,-67.858
XDA.XsDeviceId,1790001306.133496,232,0.036,-1.055,-67.865
XDA.XsDeviceId,1790001306.149162,233,0.037,-1.046,-67.870
XDA.XsDeviceId,1790001306.165717,234,0.041,-1.040,-67.875
XDA.XsDeviceId,1790001306.182181,235,0.040,-1.037,-67.885
XDA.XsDeviceId,1790001306.199340,236,0.044,-1.036,-67.890
XDA.XsDeviceId,1790001306.215794,237,0.050,-1.035,-67.898
XDA.XsDeviceId,1790001306.232616,238,0.056,-1.030,-67.904
XDA.XsDeviceId,1790001306.249143,239,0.059,-1.027,-67.911
XDA.XsDeviceId,1790001306.265636,240,0.066,-1.021,-67.915
XDA.XsDeviceId,1790001306.282621,241,0.074,-1.017,-67.918
XDA.XsDeviceId,1790001306.299045,242,0.076,-1.013,-67.922
XDA.XsDeviceId,1790001306.315493,243,0.084,-1.011,-67.929
XDA.XsDeviceId,1790001306.332482,244,0.092,-1.007,-67.933
XDA.XsDeviceId,1790001306.348985,245,0.095,-1.002,-67.936
XDA.XsDeviceId,1790001306.350129,246,0.099,-0.999,-67.943
XDA.XsDeviceId,1790001306.365936,247,0.097,-0.995,-67.949
